values,labels,tab
0,_background_,1.12095475196838
1,Grass,13.7409865856171
2,Manmade,33.4086775779724
3,Sky,8.32390189170837
4,Trees,28.8196504116058
5,Vegetation,3.76151204109192
6,Water,10.824316740036
